idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
47,label,illegal aliens,1990 population count,large immigrant populations,census bureau,voice vote,senators,illegal immigrants,appropriations bill,congressional seats,house seats,federal aid,,,,,,,,,
48,tfidf,cjd,disease,sheep,nih,gajdusek,kuru,dr,brain,brains,spongiform,scientists,scrapie,agent,dr gajdusek,dr brown,infectious,brown,defect,animals,says
48,label,mad cow disease,british cattle,infected sheep,sheep disease,altered protein,cjd victims,cjd cases,infection,,,,,,,,,,,,
49,tfidf,hurricane,gilbert,surge,zimmer,winds,mph,pressure,category,zimmer said,storm surge,storm,category storms,hemisphere,center,feet,weather officials,meterologist,18 feet,inches,hurricane center
49,label,hurricane gilbert,intense hurricane,western hemisphere,national hurricane center,barometric pressure,storm surge,hurricane fatalities,tropical storm force winds,,,,,,,,,,,,
50,tfidf,jackson,dickey,boatwright,police,car,long beach,jackson car,officer,beach,window,weaving,hearing,long beach police,beach police,report,arrest,dickey said,glass,incident,long
50,label,police brutality,police officer,arrest,racism,dickey,don jackson,,,,,,,,,,,,,,
51,tfidf,drought,weather,much nation,weather service,normal,texas,nation,valley,forecast,great,tennessee,plains,ohio,areas,northern,extreme,texas new mexico,texas new,texas expected,short range forecast
51,label,little relief,dry weather,long-term drought conditions,extreme drought,agriculture department,water shortage,drought region,national weather Service,northern great plains,western great lakes region,short-range forecast,,,,,,,,,
52,tfidf,disease,cattle,bse,agriculture,sheep,animal,britain,sheep offal,feed,offal,cattle feed,report,food,diagnosed,transmitted,humans,100 percent,banned,farmers,southwood
52,label,mad cow disease,bse,sheep disease,immune system,british cattle,government,exports,scrapie,,,,,,,,,,,,
53,tfidf,ventilation,building,air,flu,nardell,tuberculosis,ventilation system,respiratory,buildings,ventilation systems,fresh air,air ventilation,sick,infectious,poor,spread,fresh,sick building,poor air,outdoor air
53,label,tuberculosis study,infectious air,ventilation system,poor air ventilation,airborne infections,,,,,,,,,,,,,,,
54,tfidf,fire,management plans,fire management plans,fires,fire management,panel,burn,plans,management,report said,parks wilderness areas,parks wilderness,national parks wilderness,national parks,boundaries,policies,wilderness areas,park,parks,wilderness
54,label,forest fire policy,western fire season,national forests,fire management plans,natural fires,recommended halt,panel,,,,,,,,,,,,,
55,tfidf,francis,huey,huey said,johnson,sprinter,seoul,ben,charlie,test,urine,carl lewis,drug,carl,steroid,talking,olympics,said,lewis,canadian,clean
55,label,sprinter ben johnson,canadian coach charlie francis,urine sample,seoul olympics,banned steroid,u.s. sprinter carl lewis,drug use,lynda huey,canadian inquiry,,,,,,,,,,,
56,tfidf,kates,amendment,gun,militia,bill rights,right,second amendment,rights,purpose,individual,law,bill,individual right,bear,weapons,right people,registration,second,constitution,bear arms
56,label,gun control,handgun purchases,gun ownership,law enforcement,second amendment,right,constitution,kates,,,,,,,,,,,,
57,tfidf,nafta,pact,resolution,jobs,congress,labour,riegle,jobs mexico,get nafta,200 signatories,trade,signatories,resolution introduced,fast track,democrats,support nafta,support,president,agreement,organisations
57,label,north american,free trade agreement,food safety provisions,labor coalition,congressional democrats,environmental issues,hispanic americans,president bush,republican establishment,public disaffection,us election campaign,mr ross perot,nafta pact,governor bill clinton,,,,,,
58,tfidf,engine,northwest,faa,engines,safety,crash,airlines,jt8d,plane,accident,incidents,board,jet,detroit,md 82,md,aviation,airline,problems,minneapolis
58,label,northwest airlines jet,emergency landings,federal crash inspectors,aviation safety issues,heavy load,dangerous in-flight engine failures,safety investigation,crash victims,detroit,,,,,,,,,,,
59,tfidf,disease,cattle,bse,agriculture,sheep,animal,britain,sheep offal,feed,offal,cattle feed,report,food,diagnosed,transmitted,humans,banned,farmers,southwood,sheep offal cattle
59,label,mad cow disease,bovine spongiform encephalopathy,bse,sheep disease,cattle feed,british cattle,exports,imports,ban,,,,,,,,,,,
60,tfidf,fire,acres,forest,saturday,burned,fires,000 acres,utah,acre,contained,janesville,contained saturday,arizona,0,percent contained,500,forest service,spokesman,firefighters,north
60,label,forest fires,firefighters,fire crews,fire lines,fire season,federal firefighting efforts,,,,,,,,,,,,,,
61,tfidf,tornado,tornadoes,twisters,weather,tornado deaths,deaths,shelter,twister,leave immediately,hallways,weather service,lie flat,funnel,averaging,apiece,recorded,national,knowing,storms,fatalities
61,label,tornadoes,tornado deaths,tornado outbreak,public awareness,storms,tornado season,fatality,,,,,,,,,,,,,
62,tfidf,insurance,florida,hurricane,dollars,louisiana,andrew,travellers,industry,yesterday,claims,orleans,new orleans,centre,losses,damage,mississippi,us industry,state farm,home insurance,damage caused
62,label,hurricane andrew,new orleans,property damage,disaster losses,insurance claims,emergency services,,,,,,,,,,,,,,
63,tfidf,fire,firefighters,forest,acres,gila,contained,trout,creek,000 acres,fish,said,southwestern,ash,forest service,new mexico,hoped,national forest,blaze,thursday,today
63,label,fires,blazes,western states,fire season,firefighters,new mexico fire,forest,arson fire,,,,,,,,,,,,
64,tfidf,thomas,racial,friends,supreme court,supreme,remember,republican,yale,court,remember told,racial anger,protest lyrics,opportunism,lyrics,long could work,long could,intellectual clones,could work,colorblind constitution,clones
64,label,clarence thomas,senate judiciary committee,supreme court nomination,thomas sowell,affirmative action program,racial minorities,political change,,,,,,,,,,,,,
65,tfidf,marathon,beatriz martinez,beatriz,martinez,plaatjes,rollins,castillo,race,san diego,diego,18,ledoux,kurtis,half marathon,miles,mission bay,bustos,burke,san,took lead
65,label,san diego international marathon,ernesto beatriz martinez,runners,marie rollins,mexico city,marathon course,,,,,,,,,,,,,,
66,tfidf,tunnel,british,project,channel,digging,kirkland,french,trains,tunneling,feet,eurotunnel,railroad,digging began,rail,1993,british rail,britain,machines,tunnels,consortium
66,label,31-mile tunnel,english channel,french coast,london-paris journey,cross-channel ferry trip,freight,tunnel traffic,channel trains,british fears,tunnel builders,tunneling speed,,,,,,,,,
67,tfidf,hurricane,sheets,hugo,sheets said,tropical,hurricanes,gray,hugo last,storm,florida,coast,storms,tropical storms,rainfall,south carolina,worst hurricane,slosh,residents never,hurricane experts,population
67,label,hurricane hugo,deadly storm,atlantic hurricane season,damage,south carolina,southeastern u.s. coast,forecasters,population density,william gray,,,,,,,,,,,
68,tfidf,shining path,shining,coca,path,valley,tingo maria,tingo,huallaga,rebels,corrupt,peasants,guerrillas,maria,feeley,justice,peru,villages,upper huallaga,huallaga valley,cocaine
68,label,maoist shining path guerrillas,peru,revolutionary justice,puritanical honesty,rebels,coca production,corrupt local officials,,,,,,,,,,,,,
69,tfidf,jackson,long beach,police,dickey,beach,officers,said,officer,long,investigation,tape,nbc,attorney,hannon,long beach police,beach police,window,said jackson,incident,livesay said
69,label,los angeles,police force,jackson,dickey,civil rights violation,police brutality,investigation,,,,,,,,,,,,,
70,tfidf,pneumonia,taylor,bacterial pneumonia,doctors,bacterial,yeast,viral pneumonia,viral,six weeks,miss taylor,doctors said,weeks,hospitalized,miss,infection,hospital,yeast hospitalized approximately,yeast hospitalized,without elaboration bacterial,without elaboration
70,label,actress elizabeth taylor,hospitalization,miss taylor,bacterial pneumonia,yeast infection,st. john's hospital,viral pneumonia,intravenous therapy,,,,,,,,,,,,
71,tfidf,oil,exxon,said,valdez,spill,coast guard,guard,fishermen,guard said,coast guard said,dunphy,sunday,bridge,coast,exxon shipping,shipping,barrels,dunphy said,sound,disaster
71,label,u.s. spill,oil spill,joseph hazelwood,federal regulations,clean-up efforts,987-foot tanker exxon valdez,environmental damage,captain,proper pilot,full investigation,,,,,,,,,,
72,tfidf,wind shear,shear,wind,crash,travel,united,jet,flight,colorado springs,passengers,springs,gusting,plane,faa,airlines,hall,altitude,engine,official said,colorado
72,label,third crash,travel industry,united flight,colorado springs,first high wind warning,last major u.s. wind shear accident,,,,,,,,,,,,,,
73,tfidf,tornado,huntsville,twister,said,injured,power lines,lines,tornadoes,like,dead,interstate,apartments,cars,apartment,near,injuring,car,people injured,school,people
73,label,tornadoes,severe thunderstorms,tornado watch,huntsville,disaster,victims,property damage,destruction,rescue,federal disaster assistance,,,,,,,,,,
74,tfidf,tornadoes,tornado,mph,occur,year less percent,wind speeds 200,went 219 miles,went 219,well average 99,weather service insurance,violent wind speeds,violent wind,two days tornado,twisters record april,twisters record,travel average 30,travel average,track southwest northeast,track southwest,tornadoes travel average
74,label,tornadoes,tornado facts,thunderstorm,tornado-related deaths,,,,,,,,,,,,,,,,
75,tfidf,bank,poverty,preston,mr preston,reduce poverty,lending,poverty reduction,reduction,mr,progress,preston said,mr preston said,efforts reduce poverty,efforts reduce,bank lending,bank efforts reduce,bank efforts,said bank,per cent,cent
75,label,third world,developing countries,lewis preston,world bank,poverty relief,poverty reduction,bank lending,adjustment loans,,,,,,,,,,,,
76,tfidf,aliens,illegal,illegal aliens,senate,federal aid,federal,services,census,senate action,aid,california,county,population,action,financial,said,seats,reapportionment,would,myers
76,label,illegal aliens,1990 census,u.s. senate vote,congressional seats,census counts,census bureau,california,federal aid,,,,,,,,,,,,
77,tfidf,shining path,shining,path,agreement,war,vanquished,sunday review,popular war,general amnesty,dismantling people,dismantling,agreement would,shining path members,prisoners,path members,amnesty,surrender,lima,popular,points
77,label,popular war,shining path members,peace agreement,peruvian government,10-point agreement,guerrilla army,economic support,general amnesty,,,,,,,,,,,,
78,tfidf,world airways flight,world airways,wednesday night lockerbie,today involving crash,today involving,scotland killed 259,scotland killed,scotland,people aboard 20,pan american world,pan american,night lockerbie scotland,night lockerbie,lockerbie scotland killed,lockerbie scotland,lockerbie,killed 259 people,killed 259,involving crash pan,involving crash
78,label,pan american world airways flight 103,crash,terrorist threats,lockerbie,widespread wreckage,radical palestinian faction,terrorist bombing,bomb threat,sabotage,,,,,,,,,,,
79,tfidf,welfare,benefits,reform,welfare reform,welfare system,afdc,recipients,1970,welfare reform act,family welfare reform,family welfare,receive,programs,house,bill,system,welfare programs,reform act,investment,welfare recipients
79,label,welfare reform,welfare recipients,welfare benefits,welfare programs,welfare system,american taxpayers,welfare dependency,investment,house democrats,,,,,,,,,,,
80,tfidf,johnson,canadian,shame,canada,toronto,medal,gold,gretzky,ben,columnist,nobody,said,gold medal,lautens,furedy,frayne,star,wayne gretzky,stanzolol,hockey
